City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,East London,ZA,71.98,moderate rain,-33.0153,27.9116,Tu Casa
6,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
8,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
11,Praia,CV,75.74,overcast clouds,14.9215,-23.5087,LT Aparthotel
18,Santa Vitoria Do Palmar,BR,76.68,clear sky,-33.5189,-53.3681,Hostel Comodoro
22,Rikitea,PF,77.4,light rain,-23.1203,-134.9692,People ThankYou
28,Atuona,PF,79.16,few clouds,-9.8,-139.0333,Villa Enata
32,Hilo,US,78.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
35,George Town,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
39,Bandarbeyla,SO,76.86,clear sky,9.4942,50.8122,JABIR HOTEL
47,Kapaa,US,77.32,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
51,Bengkulu,ID,75.29,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
54,Eyl,SO,76.37,few clouds,7.9803,49.8164,Amiin Hotel
57,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
62,Singaraja,ID,79.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
68,Quatre Cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
69,Dingle,PH,75.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
70,Butaritari,KI,82.6,broken clouds,3.0707,172.7902,Isles Sunset Lodge
73,Avarua,CK,73.45,heavy intensity rain,-21.2078,-159.775,Paradise Inn
74,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
75,Pentecoste,BR,82.67,overcast clouds,-3.7928,-39.2703,Motel Big love
78,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Cairns,AU,80.55,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
85,Mpongwe,ZM,73.76,broken clouds,-13.5091,28.155,GCMF Office & Lodge
90,Samarai,PG,81.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
94,Baiao,BR,84.15,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
96,Atar,MR,75.63,broken clouds,20.5169,-13.0499,Oumou Elghoura
97,Totolapa,MX,78.73,broken clouds,18.5167,-96.1833,Tepaxtli
98,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
103,Gizo,SB,83.12,light rain,-8.103,156.8419,Imagination Island
105,Tiarei,PF,84.22,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
108,Bambous Virieux,MU,79.05,few clouds,-20.3428,57.7575,Casa Tia Villa
109,Sawakin,SD,81.43,clear sky,19.1059,37.3321,فندق الدويم
114,Eydhafushi,MV,81.91,overcast clouds,5.1033,73.0708,Soneva Fushi
115,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
120,Port Elizabeth,ZA,72.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
122,Port Alfred,ZA,70.75,light rain,-33.5906,26.891,The Halyards Hotel
125,Mandiana,GN,79.21,broken clouds,10.6333,-8.6833,Motels rouzo
126,Faanui,PF,80.58,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
133,Umm Lajj,SA,77.02,overcast clouds,25.0213,37.2685,Moon light Furnished Units
134,Mar Del Plata,AR,73.42,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
136,Mogadishu,SO,79.56,overcast clouds,2.0371,45.3438,Hotel Juba
138,Abancay,PE,77.86,overcast clouds,-13.6339,-72.8814,Siball Hotel
141,Axim,GH,80.58,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
146,Castro,BR,82.09,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
149,Takoradi,GH,81.0,overcast clouds,4.8845,-1.7554,Raybow International Hotel
151,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
152,Ahero,KE,71.28,overcast clouds,-0.1746,34.9163,Jesmic Hotel
155,Neuquen,AR,71.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
156,Angoche,MZ,80.37,clear sky,-16.2325,39.9086,Guest House HESADA
163,Gunjur,GM,82.47,scattered clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
167,Sola,VU,81.79,overcast clouds,-13.8833,167.55,Leumerus Bungalows
168,Sao Filipe,CV,75.54,broken clouds,14.8961,-24.4956,Hotel Xaguate
170,Yorosso,ML,80.37,broken clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
180,Andros Town,BS,75.16,clear sky,24.7,-77.7667,Hanks place
184,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
189,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
190,Isangel,VU,80.71,light rain,-19.55,169.2667,Tanna Lodge
196,Biak,ID,77.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
197,Tabou,CI,80.19,few clouds,4.423,-7.3528,hotêl doufoulougou
199,Boyolangu,ID,76.35,overcast clouds,-8.1181,111.8935,Yos ega cv
204,Inongo,CD,70.79,overcast clouds,-1.95,18.2667,Hotel Du Lac
205,Nouakchott,MR,84.13,broken clouds,18.0858,-15.9785,HOTEL IMAN
209,Pontes E Lacerda,BR,82.26,light rain,-15.2261,-59.3353,Hotel Bressan
211,Hervey Bay,AU,72.03,broken clouds,-25.2986,152.8535,Shelly Bay Resort
214,Conceicao Do Araguaia,BR,82.31,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
221,Kintampo,GH,82.94,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
222,Chuy,UY,76.33,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
226,Poum,NC,77.67,overcast clouds,-20.2333,164.0167,Gîte kajeon
228,Kanniyakumari,IN,78.28,overcast clouds,8.0833,77.5667,Sparsa
229,Chimbote,PE,71.6,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
232,Sao Jose Da Coroa Grande,BR,80.98,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
233,Namibe,AO,70.74,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
235,Arraial Do Cabo,BR,84.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
236,Yambio,SS,75.96,overcast clouds,4.5721,28.3955,Naivasha Hotel
237,Maracanau,BR,83.86,few clouds,-3.8767,-38.6256,Paiva de Sousa Motel
245,Trinidad,BO,84.18,few clouds,-14.8333,-64.9,Hotel Piesta
247,Mitsamiouli,KM,80.53,overcast clouds,-11.3847,43.2844,Foyer ADM
248,Katobu,ID,76.55,overcast clouds,-4.9408,122.5276,La Ode Husein
252,Piacabucu,BR,82.13,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
255,Kudahuvadhoo,MV,81.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
256,Cabo San Lucas,MX,80.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
263,Kavieng,PG,83.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
269,Bentiu,SS,80.26,broken clouds,9.2333,29.8333,Mandela hôtel
