City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,35.76,70,100,21.14,overcast clouds
1,Broome,US,42.2506,-75.833,45.63,48,1,4.0,clear sky
2,Saldanha,ZA,-33.0117,17.9442,64.45,92,100,13.73,overcast clouds
3,Lisakovsk,KZ,52.5369,62.4936,4.57,94,8,4.54,clear sky
4,Manzhouli,CN,49.6,117.4333,6.71,86,100,4.74,overcast clouds
5,East London,ZA,-33.0153,27.9116,71.98,94,100,3.87,moderate rain
6,Vaini,TO,-21.2,-175.2,77.16,94,75,8.05,light rain
7,Te Anau,NZ,-45.4167,167.7167,54.52,74,70,0.34,light rain
8,Mahebourg,MU,-20.4081,57.7,79.09,69,20,8.05,few clouds
9,Norman Wells,CA,65.282,-126.8329,-2.16,71,90,16.11,light snow
10,Luoyang,CN,34.6836,112.4536,35.38,54,0,3.15,clear sky
11,Praia,CV,14.9215,-23.5087,75.74,69,98,11.5,overcast clouds
12,Vestmanna,FO,62.1564,-7.1664,40.12,81,75,10.36,broken clouds
13,Punta Arenas,CL,-53.15,-70.9167,51.91,32,0,23.02,clear sky
14,Bluff,NZ,-46.6,168.3333,56.8,76,31,2.17,scattered clouds
15,Ancud,CL,-41.8697,-73.8203,61.43,64,43,12.03,scattered clouds
16,Geraldton,AU,-28.7667,114.6,58.12,82,91,8.05,overcast clouds
17,Yellowknife,CA,62.456,-114.3525,10.42,89,90,9.22,light snow
18,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,76.68,59,0,14.9,clear sky
19,Busselton,AU,-33.65,115.3333,50.04,75,100,9.73,overcast clouds
20,Hasaki,JP,35.7333,140.8333,41.4,58,13,15.95,few clouds
21,Lakhnadon,IN,22.6,79.6,56.23,50,0,1.48,clear sky
22,Rikitea,PF,-23.1203,-134.9692,77.4,76,88,10.0,light rain
23,Victoria,HK,22.2855,114.1577,67.32,66,53,4.0,broken clouds
24,Nicoya,CR,10.1483,-85.452,89.15,52,6,9.73,clear sky
25,Kodiak,US,57.79,-152.4072,9.91,61,20,23.02,few clouds
26,Mandalgovi,MN,45.7625,106.2708,12.47,44,0,14.23,clear sky
27,Zalantun,CN,48.0,122.7167,9.05,73,100,5.01,overcast clouds
28,Atuona,PF,-9.8,-139.0333,79.16,76,20,19.26,few clouds
29,Bodden Town,KY,19.2833,-81.25,86.0,72,20,5.99,few clouds
30,Chokurdakh,RU,70.6333,147.9167,-37.95,97,98,2.04,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,67.12,81,20,3.0,few clouds
32,Hilo,US,19.7297,-155.09,78.28,1,15,8.12,few clouds
33,Nizwa,OM,22.9333,57.5333,64.69,44,4,3.6,clear sky
34,Iqaluit,CA,63.7506,-68.5145,6.53,65,75,5.01,broken clouds
35,George Town,MY,5.4112,100.3354,80.89,79,40,1.01,scattered clouds
36,Khatanga,RU,71.9667,102.5,-51.34,100,83,2.17,broken clouds
37,Klaksvik,FO,62.2266,-6.589,41.92,72,100,19.01,overcast clouds
38,New Norfolk,AU,-42.7826,147.0587,52.92,74,24,2.59,few clouds
39,Bandarbeyla,SO,9.4942,50.8122,76.86,78,7,22.7,clear sky
40,Ushuaia,AR,-54.8,-68.3,44.26,76,75,36.82,drizzle
41,Severo-Kurilsk,RU,50.6789,156.125,33.04,94,87,11.61,light snow
42,Mount Isa,AU,-20.7333,139.5,62.37,34,3,0.0,clear sky
43,Albany,US,42.6001,-73.9662,45.63,32,0,3.0,clear sky
44,Luena,AO,-11.7833,19.9167,65.3,90,99,2.37,light rain
45,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,17.27,broken clouds
46,Kruisfontein,ZA,-34.0033,24.7314,69.89,87,100,7.72,overcast clouds
47,Kapaa,US,22.0752,-159.319,77.32,75,20,4.0,few clouds
48,Novyy Urengoy,RU,66.0833,76.6333,-23.31,96,24,7.58,few clouds
49,Canto Do Buriti,BR,-8.11,-42.9444,88.5,49,100,7.47,overcast clouds
50,Bethel,US,41.3712,-73.414,47.32,37,1,3.0,clear sky
51,Bengkulu,ID,-3.8004,102.2655,75.29,90,99,4.0,moderate rain
52,Thompson,CA,55.7435,-97.8558,1.56,78,90,3.44,light snow
53,Carnarvon,AU,-24.8667,113.6333,69.87,73,0,16.11,clear sky
54,Eyl,SO,7.9803,49.8164,76.37,74,24,21.32,few clouds
55,Esperance,AU,-33.8667,121.9,49.84,63,60,3.74,broken clouds
56,Hobart,AU,-42.8794,147.3294,53.26,84,75,1.99,broken clouds
57,San Cristobal,VE,7.7669,-72.225,78.98,45,61,4.83,broken clouds
58,Mataura,NZ,-46.1927,168.8643,56.48,67,89,0.13,overcast clouds
59,Mehamn,NO,71.0357,27.8492,30.38,94,100,10.42,light snow
60,Ponta Do Sol,PT,32.6667,-17.1,67.01,79,68,2.42,broken clouds
61,Erdenet,MN,49.0333,104.0833,12.33,40,97,4.56,overcast clouds
62,Singaraja,ID,-8.112,115.0882,79.97,83,98,4.54,overcast clouds
63,Korla,CN,41.7597,86.1469,18.72,71,38,2.91,scattered clouds
64,Rudnogorsk,RU,57.2639,103.7519,-1.34,99,100,2.26,overcast clouds
65,Lubbock,US,33.6001,-101.8338,66.38,18,1,3.0,clear sky
66,Bredasdorp,ZA,-34.5322,20.0403,65.28,86,100,5.08,overcast clouds
67,Lagoa,PT,39.05,-27.9833,57.76,51,100,25.48,overcast clouds
68,Quatre Cocos,MU,-20.2078,57.7625,78.91,68,100,13.76,overcast clouds
69,Dingle,PH,10.9995,122.6711,75.49,92,100,7.7,overcast clouds
70,Butaritari,KI,3.0707,172.7902,82.6,72,57,18.32,broken clouds
